"contrast","energy","homogeneity","correlation","dissimilarity","ASM","Entrophy","class"
"2.038178314","0.1052456784","0.7150781221","0.9994007925","0.7418204549","0.01107665282","0.5440486495","0"
"1.693972069","0.1075254413","0.7404890129","0.9995305864","0.6598995108","0.01156172053","0.5032278155","0"
"1.860911033","0.1020768841","0.720511961","0.9995118902","0.7175789778","0.01041969027","0.5192091466","0"
"1.995202849","0.1018590573","0.7075711323","0.9994856034","0.7572821511","0.01037526756","0.494902135","0"
"2.710366677","0.09939477514","0.6806686388","0.9993165465","0.8534856299","0.009879321324","0.5507436294","0"
"2.824205487","0.09775564821","0.6646344624","0.9992986555","0.89384705","0.009556166757","0.5612885434","0"
"3.823907145","0.09260796188","0.6153340871","0.9990550472","1.08192568","0.008576234603","0.5871233399","0"
"3.93710665","0.09223097804","0.6154370003","0.9990291607","1.096321868","0.00850655331","0.586661578","0"
"4.784483371","0.08801806141","0.5882799045","0.9988411723","1.22293256","0.007747179134","0.630587671","0"
"10.70824987","0.06031186096","0.4412928552","0.9810637294","1.99231414","0.003637520573","0.9020626606","0"
"10.35994734","0.06042528489","0.4454486061","0.9818651484","1.961959018","0.003651215055","0.884813546","0"
"10.82769088","0.06018156611","0.4444187522","0.981878897","1.987427013","0.0036218209","0.9091634605","0"
"10.48660539","0.06059071721","0.4491666909","0.9830437157","1.953899047","0.003671235013","0.8877595015","0"
"10.59098723","0.06070440561","0.450240634","0.983991583","1.955783811","0.00368502486","0.9048060404","0"
"12.03227777","0.05822045718","0.4365729158","0.9839191074","2.073913064","0.003389621634","0.9630838564","0"
"11.728826","0.05921413307","0.4418806416","0.9849301437","2.036535065","0.003506313555","0.9767329612","0"
"11.83553301","0.05949996993","0.4454359257","0.9853971309","2.033632149","0.003540246422","0.9899356884","0"
"12.64607633","0.05881669059","0.4385083022","0.9850554145","2.09600932","0.003459403092","1.023072046","0"
"13.03855243","0.05728553075","0.4276419905","0.9850807845","2.155658791","0.003281632033","1.027471681","0"
"13.56041427","0.05670913184","0.4209109014","0.9848633898","2.211728158","0.003215925634","1.041775175","0"
"13.82987872","0.05582700631","0.4134510433","0.9848248688","2.259434476","0.003116654634","1.049437025","0"
"11.39169946","0.06198158229","0.4524667005","0.9866388659","2.001823202","0.003841716543","0.9743907694","0"
"11.43467966","0.06178149864","0.4549749292","0.9868081224","1.992778228","0.003816953574","0.9813347066","0"
"12.31742176","0.05933278309","0.4397370579","0.986586721","2.092443422","0.00352037915","1.026732246","0"
"12.92952497","0.05860097321","0.4367007675","0.9862710583","2.129144232","0.003434074061","1.043827908","0"
"13.15151515","0.05771202068","0.4354358576","0.9865413219","2.146225499","0.003330677331","1.049224533","0"
"12.30571538","0.05873435564","0.442315422","0.9878989995","2.08100224","0.003449724532","1.035429154","0"
"14.43656443","0.05630029444","0.4310014442","0.9867462892","2.209341422","0.003169723154","1.100638839","0"
"14.92930714","0.05520209102","0.4301299564","0.986995701","2.241008301","0.003047270853","1.107607809","0"
